Image,Orientation,Confidence,Disesase
75x75_Viral Pneumonia-1.png,correct,0.987048327922821,Viral Pneumonia
75x75_Viral Pneumonia-10.png,correct,0.9992693066596985,Viral Pneumonia
75x75_Viral Pneumonia-100.png,correct,0.6575214862823486,Viral Pneumonia
75x75_Viral Pneumonia-1000.png,correct,0.9951679706573486,Viral Pneumonia
75x75_Viral Pneumonia-1001.png,rotated_180,0.9989284873008728,Viral Pneumonia
75x75_Viral Pneumonia-1002.png,correct,0.9925768971443176,Viral Pneumonia
75x75_Viral Pneumonia-1003.png,correct,0.9964972138404846,Viral Pneumonia
75x75_Viral Pneumonia-1004.png,rotated_180,0.7578737735748291,Viral Pneumonia
75x75_Viral Pneumonia-1005.png,correct,0.9962222576141357,Viral Pneumonia
75x75_Viral Pneumonia-1006.png,correct,0.9988082647323608,Viral Pneumonia
75x75_Viral Pneumonia-1007.png,correct,0.9887059926986694,Viral Pneumonia
75x75_Viral Pneumonia-1008.png,correct,0.9937984347343445,Viral Pneumonia
75x75_Viral Pneumonia-1009.png,correct,0.7830796241760254,Viral Pneumonia
75x75_Viral Pneumonia-101.png,correct,0.9960579872131348,Viral Pneumonia
75x75_Viral Pneumonia-1010.png,correct,0.772219181060791,Viral Pneumonia
75x75_Viral Pneumonia-1011.png,rotated_180,0.9098719358444214,Viral Pneumonia
75x75_Viral Pneumonia-1012.png,correct,0.8932515382766724,Viral Pneumonia
75x75_Viral Pneumonia-1013.png,correct,0.9904584884643555,Viral Pneumonia
75x75_Viral Pneumonia-1014.png,correct,0.9951984286308289,Viral Pneumonia
75x75_Viral Pneumonia-1015.png,correct,0.99934321641922,Viral Pneumonia
75x75_Viral Pneumonia-1016.png,correct,0.9951717257499695,Viral Pneumonia
75x75_Viral Pneumonia-1017.png,correct,0.8514721989631653,Viral Pneumonia
75x75_Viral Pneumonia-1018.png,correct,0.9956493973731995,Viral Pneumonia
75x75_Viral Pneumonia-1019.png,correct,0.9506739377975464,Viral Pneumonia
75x75_Viral Pneumonia-102.png,correct,0.985123336315155,Viral Pneumonia
75x75_Viral Pneumonia-1020.png,correct,0.5038221478462219,Viral Pneumonia
75x75_Viral Pneumonia-1021.png,correct,0.792820155620575,Viral Pneumonia
75x75_Viral Pneumonia-1022.png,rotated_180,0.8877849578857422,Viral Pneumonia
75x75_Viral Pneumonia-1023.png,correct,0.9984472393989563,Viral Pneumonia
75x75_Viral Pneumonia-1024.png,correct,0.9756021499633789,Viral Pneumonia
75x75_Viral Pneumonia-1025.png,rotated_180,0.9807610511779785,Viral Pneumonia
75x75_Viral Pneumonia-1026.png,rotated_180,0.9902293086051941,Viral Pneumonia
75x75_Viral Pneumonia-1027.png,correct,0.9669317007064819,Viral Pneumonia
75x75_Viral Pneumonia-1028.png,correct,0.9906793236732483,Viral Pneumonia
75x75_Viral Pneumonia-1029.png,rotated_180,0.9464811086654663,Viral Pneumonia
75x75_Viral Pneumonia-103.png,rotated_180,0.7360462546348572,Viral Pneumonia
75x75_Viral Pneumonia-1030.png,correct,0.8873625993728638,Viral Pneumonia
75x75_Viral Pneumonia-1031.png,rotated_180,0.9310378432273865,Viral Pneumonia
75x75_Viral Pneumonia-1032.png,correct,0.9842654466629028,Viral Pneumonia
75x75_Viral Pneumonia-1033.png,rotated_180,0.5053173303604126,Viral Pneumonia
75x75_Viral Pneumonia-1034.png,correct,0.9801557660102844,Viral Pneumonia
75x75_Viral Pneumonia-1035.png,correct,0.9577658176422119,Viral Pneumonia
75x75_Viral Pneumonia-1036.png,correct,0.6605208516120911,Viral Pneumonia
75x75_Viral Pneumonia-1037.png,correct,0.8873435854911804,Viral Pneumonia
75x75_Viral Pneumonia-1038.png,rotated_180,0.6667515635490417,Viral Pneumonia
75x75_Viral Pneumonia-1039.png,rotated_180,0.8735104203224182,Viral Pneumonia
75x75_Viral Pneumonia-104.png,correct,0.8041884303092957,Viral Pneumonia
75x75_Viral Pneumonia-1040.png,correct,0.9009055495262146,Viral Pneumonia
75x75_Viral Pneumonia-1041.png,rotated_180,0.5956991910934448,Viral Pneumonia
75x75_Viral Pneumonia-1042.png,correct,0.9986085295677185,Viral Pneumonia
75x75_Viral Pneumonia-1043.png,correct,0.996797502040863,Viral Pneumonia
75x75_Viral Pneumonia-1044.png,correct,0.9645527005195618,Viral Pneumonia
75x75_Viral Pneumonia-1045.png,correct,0.963860034942627,Viral Pneumonia
75x75_Viral Pneumonia-1046.png,correct,0.9964351654052734,Viral Pneumonia
75x75_Viral Pneumonia-1047.png,correct,0.9435073733329773,Viral Pneumonia
75x75_Viral Pneumonia-1048.png,correct,0.9810753464698792,Viral Pneumonia
75x75_Viral Pneumonia-1049.png,correct,0.9709669947624207,Viral Pneumonia
75x75_Viral Pneumonia-105.png,rotated_180,0.994703471660614,Viral Pneumonia
75x75_Viral Pneumonia-1050.png,correct,0.9630349278450012,Viral Pneumonia
75x75_Viral Pneumonia-1051.png,rotated_180,0.8246147036552429,Viral Pneumonia
75x75_Viral Pneumonia-1052.png,correct,0.9829308390617371,Viral Pneumonia
75x75_Viral Pneumonia-1054.png,rotated_180,0.6123494505882263,Viral Pneumonia
75x75_Viral Pneumonia-1055.png,correct,0.9968675971031189,Viral Pneumonia
75x75_Viral Pneumonia-1056.png,correct,0.9995496869087219,Viral Pneumonia
75x75_Viral Pneumonia-1057.png,correct,0.5566777586936951,Viral Pneumonia
75x75_Viral Pneumonia-1058.png,correct,0.997404158115387,Viral Pneumonia
75x75_Viral Pneumonia-1059.png,correct,0.9947944283485413,Viral Pneumonia
75x75_Viral Pneumonia-106.png,rotated_180,0.9748950004577637,Viral Pneumonia
75x75_Viral Pneumonia-1060.png,correct,0.9819080233573914,Viral Pneumonia
75x75_Viral Pneumonia-1061.png,correct,0.9993886947631836,Viral Pneumonia
75x75_Viral Pneumonia-1062.png,rotated_180,0.661165177822113,Viral Pneumonia
75x75_Viral Pneumonia-1063.png,correct,0.9949967861175537,Viral Pneumonia
75x75_Viral Pneumonia-1064.png,rotated_180,0.9165121912956238,Viral Pneumonia
75x75_Viral Pneumonia-1065.png,correct,0.574844241142273,Viral Pneumonia
75x75_Viral Pneumonia-1066.png,rotated_180,0.8962997198104858,Viral Pneumonia
75x75_Viral Pneumonia-1067.png,correct,0.8417798280715942,Viral Pneumonia
75x75_Viral Pneumonia-1068.png,correct,0.9911761283874512,Viral Pneumonia
75x75_Viral Pneumonia-1069.png,correct,0.9728193879127502,Viral Pneumonia
75x75_Viral Pneumonia-107.png,correct,0.817139744758606,Viral Pneumonia
75x75_Viral Pneumonia-1070.png,correct,0.9493268728256226,Viral Pneumonia
75x75_Viral Pneumonia-1071.png,rotated_180,0.8588962554931641,Viral Pneumonia
75x75_Viral Pneumonia-1072.png,correct,0.9988473653793335,Viral Pneumonia
75x75_Viral Pneumonia-1073.png,rotated_180,0.5744505524635315,Viral Pneumonia
75x75_Viral Pneumonia-1074.png,rotated_180,0.5877484679222107,Viral Pneumonia
75x75_Viral Pneumonia-1075.png,correct,0.9977286458015442,Viral Pneumonia
75x75_Viral Pneumonia-1076.png,correct,0.9668188691139221,Viral Pneumonia
75x75_Viral Pneumonia-1077.png,correct,0.6113746762275696,Viral Pneumonia
75x75_Viral Pneumonia-1078.png,correct,0.9968971014022827,Viral Pneumonia
75x75_Viral Pneumonia-1079.png,rotated_180,0.5474873781204224,Viral Pneumonia
75x75_Viral Pneumonia-108.png,correct,0.8831491470336914,Viral Pneumonia
75x75_Viral Pneumonia-1080.png,correct,0.8365744352340698,Viral Pneumonia
75x75_Viral Pneumonia-1081.png,rotated_180,0.6889961361885071,Viral Pneumonia
75x75_Viral Pneumonia-1082.png,correct,0.9530333280563354,Viral Pneumonia
75x75_Viral Pneumonia-1083.png,correct,0.9983068704605103,Viral Pneumonia
75x75_Viral Pneumonia-1084.png,correct,0.8500943779945374,Viral Pneumonia
75x75_Viral Pneumonia-1085.png,correct,0.9621257781982422,Viral Pneumonia
75x75_Viral Pneumonia-1086.png,correct,0.9714604020118713,Viral Pneumonia
75x75_Viral Pneumonia-1087.png,correct,0.8699252009391785,Viral Pneumonia
75x75_Viral Pneumonia-1088.png,correct,0.9457611441612244,Viral Pneumonia
75x75_Viral Pneumonia-1089.png,correct,0.991593599319458,Viral Pneumonia
75x75_Viral Pneumonia-109.png,correct,0.9831511974334717,Viral Pneumonia
75x75_Viral Pneumonia-1090.png,correct,0.9474434852600098,Viral Pneumonia
75x75_Viral Pneumonia-1091.png,correct,0.9045529365539551,Viral Pneumonia
75x75_Viral Pneumonia-1092.png,correct,0.9903308153152466,Viral Pneumonia
75x75_Viral Pneumonia-1093.png,rotated_180,0.8503397703170776,Viral Pneumonia
75x75_Viral Pneumonia-1094.png,correct,0.9547370672225952,Viral Pneumonia
75x75_Viral Pneumonia-1095.png,correct,0.943152666091919,Viral Pneumonia
75x75_Viral Pneumonia-1096.png,correct,0.8767199516296387,Viral Pneumonia
75x75_Viral Pneumonia-1097.png,correct,0.957760214805603,Viral Pneumonia
75x75_Viral Pneumonia-1098.png,correct,0.9932312965393066,Viral Pneumonia
75x75_Viral Pneumonia-1099.png,rotated_180,0.8851721882820129,Viral Pneumonia
75x75_Viral Pneumonia-11.png,correct,0.99882572889328,Viral Pneumonia
75x75_Viral Pneumonia-110.png,correct,0.9896219968795776,Viral Pneumonia
75x75_Viral Pneumonia-1100.png,correct,0.653405487537384,Viral Pneumonia
75x75_Viral Pneumonia-1101.png,correct,0.9963770508766174,Viral Pneumonia
75x75_Viral Pneumonia-1102.png,correct,0.8190408945083618,Viral Pneumonia
75x75_Viral Pneumonia-1103.png,correct,0.9945014715194702,Viral Pneumonia
75x75_Viral Pneumonia-1104.png,rotated_180,0.9462447166442871,Viral Pneumonia
75x75_Viral Pneumonia-1105.png,correct,0.5246761441230774,Viral Pneumonia
75x75_Viral Pneumonia-1106.png,correct,0.9731308817863464,Viral Pneumonia
75x75_Viral Pneumonia-1107.png,correct,0.7460453510284424,Viral Pneumonia
75x75_Viral Pneumonia-1108.png,rotated_180,0.9490615725517273,Viral Pneumonia
75x75_Viral Pneumonia-1109.png,rotated_180,0.5330139994621277,Viral Pneumonia
75x75_Viral Pneumonia-111.png,correct,0.9131048321723938,Viral Pneumonia
75x75_Viral Pneumonia-1110.png,correct,0.9710224866867065,Viral Pneumonia
75x75_Viral Pneumonia-1111.png,correct,0.9987106323242188,Viral Pneumonia
75x75_Viral Pneumonia-1112.png,correct,0.997808039188385,Viral Pneumonia
75x75_Viral Pneumonia-1113.png,correct,0.7930133938789368,Viral Pneumonia
75x75_Viral Pneumonia-1114.png,correct,0.991757333278656,Viral Pneumonia
